UF,PE
Cidade,AFOGADOS DA INGAZEIRA
Nome Posto,AFOGADOS DA INGAZEIRA (DNOCS)
Latitude,-7.738888888888889
Longitude,-37.64833333333333
Codigo,737023
Qtd. Anos,106
Ano,Maxima
1914,60.7
1915,36.5
1916,66.5
1917,68.5
1918,68.7
1919,68.2
1920,69.4
1921,54
1922,44.8
1923,53.2
1924,69.4
1925,40.1
1926,70.5
1927,36.7
1928,46.5
1929,67.3
1930,38.4
1931,65.5
1932,34.8
1933,52.7
1934,91.2
1935,69.4
1936,29.5
1937,75.3
1938,19.4
1939,108.4
1940,75.5
1941,40.2
1942,66.2
1943,100.6
1944,49.7
1945,39
1946,63.7
1947,54.4
1948,70.6
1949,45
1950,120.8
1951,53.6
1952,59.8
1953,25.8
1954,48.9
1955,50.4
1956,54.3
1957,85.2
1958,80
1959,58.7
1960,73.2
1961,53.4
1962,49.3
1963,85
1964,77.2
1965,80.7
1966,75
1967,92.5
1968,95
1969,43.7
1970,65.8
1971,78
1972,55.2
1973,69
1974,96
1975,95
1976,44
1977,47
1978,68
1979,45.4
1980,59.8
1981,115
1982,84.2
1983,61
1984,100.8
1985,25
1986,114
1987,47
1988,103
1989,89
1990,53.4
1991,97.8
1992,47.6
1993,33.6
1994,60.8
1995,82.4
1996,86.4
1997,121.2
1998,67.8
1999,65.4
2000,43.4
2001,89.4
2002,76.4
2003,41.2
2004,75
2005,59.2
2006,148.6
2007,33.2
2008,83.4
2009,82.2
2010,55.2
2011,142.4
2012,100.2
2013,29.5
2014,44.7
2015,77.3
2016,84.9
2017,54.5
2018,56
2019,32
