UF,PE
Cidade,OROCO
Nome Posto,FAZENDA TAPERA
Latitude,-8.520277777777778
Longitude,-39.64083333333333
Codigo,839034
Qtd. Anos,43
Ano,Maxima
1977,17.5
1978,22.9
1979,79.1
1980,66.7
1981,72.2
1982,60.4
1983,59.8
1984,60.1
1985,82.7
1986,121.2
1987,76.6
1988,108.2
1989,65.5
1990,61
1991,71.3
1992,72.6
1993,12.5
1994,62.5
1995,110.1
1996,65.4
1997,69.1
1998,53.1
1999,144.2
2000,65.5
2001,64.5
2002,105
2003,60.8
2004,107.3
2005,73.9
2006,62.1
2007,81.1
2008,75.7
2009,106.4
2010,40.1
2011,60.1
2012,70.3
2013,43.1
2014,50.5
2015,42.3
2016,42.3
2017,42.2
2018,44.6
2019,38.8
