UF,PE
Cidade,PEDRA
Nome Posto,TARA (SANTO ANTONIO DO TARA)
Latitude,-8.733333333333333
Longitude,-36.86666666666667
Codigo,836053
Qtd. Anos,59
Ano,Maxima
1934,20.6
1935,60.3
1936,17.6
1937,38.4
1938,31.5
1939,20.4
1940,48.3
1941,76.2
1942,34.2
1943,35.2
1944,85.3
1945,45.3
1946,32.2
1947,100.2
1948,80.2
1949,70.3
1950,50.2
1951,35.2
1952,50.2
1953,75.2
1954,10
1955,103.3
1956,35.2
1957,31.1
1958,48.5
1959,16.5
1962,37.6
1963,105
1964,82.5
1965,53.3
1966,86
1967,84.6
1968,53.5
1969,45.1
1970,121
1971,45
1972,68
1973,30.8
1974,33.6
1975,55.1
1976,71.2
1977,104.2
1978,85.1
1979,73.2
1980,56
1981,55.3
1982,41
1983,48.1
1984,39.1
1985,90
1986,55
1987,50.1
1988,65.2
1989,80.2
1990,40
1991,35.2
1992,50.1
1993,57.6
1994,72.2
