UF,PE
Cidade,SERRA TALHADA
Nome Posto,SERRA TALHADA
Latitude,-8.000555555555556
Longitude,-38.24472222222222
Codigo,838031
Qtd. Anos,42
Ano,Maxima
1978,60
1979,110
1980,68.4
1981,58
1982,53.6
1983,75
1984,50
1985,78
1986,107
1987,66
1988,95
1989,95
1990,87
1991,95
1992,68
1993,30
1994,80
1995,83.4
1996,135
1997,49.5
1998,17.2
1999,102.5
2000,70
2001,53.4
2002,57.8
2003,71.6
2004,93
2005,74.7
2006,65.4
2007,137.2
2008,81.6
2009,62
2010,122.5
2011,88
2012,50.8
2013,55.8
2014,81
2015,70.5
2016,110
2017,44.3
2018,68
2019,69
