UF,PE
Cidade,IBIMIRIM
Nome Posto,IBIMIRIM (JERITACO)
Latitude,-8.383333333333333
Longitude,-37.63333333333333
Codigo,837025
Qtd. Anos,59
Ano,Maxima
1934,51.4
1935,80
1936,65.2
1937,80.3
1938,73
1939,55
1940,613
1941,52
1942,50
1943,66.7
1944,60.7
1945,53.4
1946,54.4
1947,101.3
1948,49
1949,95
1950,95
1951,40.7
1952,68.4
1953,80.6
1954,68.1
1955,60
1956,80
1957,80
1958,90
1959,90
1960,86
1961,65
1962,60
1963,97
1964,80
1965,90.5
1966,60
1967,62.3
1968,64.5
1969,60
1970,100
1971,49.2
1972,125
1973,39.6
1974,125
1975,95.5
1976,53.2
1977,57.3
1978,54.2
1979,52.2
1980,61.2
1981,65
1982,50.5
1983,70
1984,65
1985,95
1986,51.2
1987,62.3
1988,86.2
1989,90.5
1990,82
1991,50.5
1992,50
