UF,PE
Cidade,SANHARO
Nome Posto,SANHARO
Latitude,-8.365555555555556
Longitude,-36.56027777777778
Codigo,836043
Qtd. Anos,58
Ano,Maxima
1962,27.4
1963,70.3
1964,55.2
1965,70
1966,54
1967,92.6
1968,81
1969,86.1
1970,34.2
1971,57.4
1972,82.1
1973,59
1974,106
1975,72.7
1976,91.2
1977,125
1978,57.1
1979,78.5
1980,39.4
1981,68.2
1982,83.2
1983,31.1
1984,48
1985,107.2
1986,51.2
1987,71.3
1988,78.2
1989,110
1990,47
1991,60
1992,72.9
1993,23
1994,87
1995,45
1996,83
1997,108
1998,28
1999,31
2000,59
2001,62
2002,55
2003,45
2004,85
2005,65
2006,54.5
2007,45.3
2008,58.6
2009,158.6
2010,85.7
2011,95
2012,21.5
2013,46.8
2014,37.4
2015,92.3
2016,67.2
2017,65.1
2018,32.2
2019,108
