UF,PE
Cidade,FLORESTA
Nome Posto,FAZENDA MALHADA DA AREIA
Latitude,-8.283333333333333
Longitude,-38.483333333333334
Codigo,838013
Qtd. Anos,43
Ano,Maxima
1934,70.5
1935,91
1936,71
1937,78.6
1938,74.4
1939,38.7
1940,101.2
1941,68.8
1942,39
1943,118.3
1944,92.5
1945,57.5
1946,73.4
1947,105.8
1949,48
1950,82.3
1951,67
1952,100.2
1953,84.5
1954,43.5
1955,56
1956,67.5
1957,56.3
1958,50.2
1959,40.5
1960,70.5
1961,41.5
1962,66.6
1963,50.6
1964,53.4
1965,50
1966,67.2
1967,86
1968,46.4
1969,68.8
1970,80.2
1971,69
1972,80
1973,65.2
1974,86.4
1975,95
1976,78
1977,113
