UF,PE
Cidade,SANTA MARIA DA BOA VISTA
Nome Posto,MALHADA REAL
Latitude,-9.033333333333333
Longitude,-40.016666666666666
Codigo,940005
Qtd. Anos,59
Ano,Maxima
1934,14.5
1935,32.4
1936,50.3
1937,95.5
1938,39.5
1939,68.7
1940,59.3
1941,111.2
1942,83.8
1943,63.5
1944,75
1945,53.7
1946,65
1947,85
1948,85.5
1949,95.3
1950,36
1951,52.3
1952,51.7
1953,61.6
1954,72.6
1955,110
1956,50
1957,80.4
1958,25
1959,60.5
1960,150.3
1961,20.5
1962,28.2
1963,56
1964,91
1965,28.6
1966,70.2
1967,50
1968,49.3
1969,63.2
1970,84
1971,70.3
1972,100.2
1973,100
1974,70.4
1975,56.2
1976,63
1977,70
1978,85.6
1979,84.3
1980,49
1981,22.8
1982,53.4
1983,35
1984,89
1985,60.8
1986,45.4
1987,57.6
1988,127.2
1989,63
1990,16.4
1991,75.2
1992,96.2
