UF,PE
Cidade,SANTA MARIA DA BOA VISTA
Nome Posto,FAZENDA SAO BENTO
Latitude,-8.616111111111111
Longitude,-39.99944444444444
Codigo,840010
Qtd. Anos,60
Ano,Maxima
1941,50.8
1942,87.3
1943,92.1
1963,63
1964,63
1965,25
1966,60.1
1967,48
1968,60.2
1969,70.3
1970,58.6
1971,79
1972,79.2
1973,54.8
1974,66.4
1975,57.4
1976,62.4
1977,50
1978,96.2
1979,69.3
1980,76.2
1981,55.2
1982,49.4
1983,64.2
1984,56
1985,64
1986,77
1987,37
1988,146
1989,89
1990,53
1991,37
1992,104
1993,63
1994,85
1995,80.8
1996,97.2
1997,76
1998,44.2
1999,115
2000,57.9
2001,56.7
2002,99.2
2003,56.4
2004,57.5
2005,100
2006,48.7
2007,75.7
2008,51.1
2009,97
2010,63.8
2011,77.6
2012,45
2013,47
2014,76.5
2015,60.5
2016,77.8
2017,18.8
2018,107
2019,45.1
