UF,PE
Cidade,BELEM DE SAO FRANCISCO
Nome Posto,IBO
Latitude,-8.623055555555556
Longitude,-39.23916666666667
Codigo,839031
Qtd. Anos,43
Ano,Maxima
1977,61
1978,54.2
1979,54
1980,80.2
1981,70
1982,25
1983,46
1984,64
1985,154.4
1986,61
1987,121.4
1988,89
1989,70
1990,32.7
1991,68.6
1992,71
1993,29
1994,40.3
1995,69.4
1996,49.3
1997,67.9
1998,89.5
1999,57.8
2000,49.3
2001,50
2002,59.4
2003,40.7
2004,91
2005,110
2006,44.6
2007,46.5
2008,116.2
2009,138.6
2010,82.6
2011,58.9
2012,30
2013,66.5
2014,61.5
2015,81.3
2016,41.7
2017,45.5
2018,66
2019,48.5
