UF,PE
Cidade,CUSTODIA
Nome Posto,CUSTODIA
Latitude,-8.1
Longitude,-37.65
Codigo,837011
Qtd. Anos,57
Ano,Maxima
1933,24.3
1934,56.4
1935,70.2
1936,48.3
1937,62.4
1938,50.6
1939,50.6
1940,110
1941,60.4
1942,90.5
1943,72
1944,78.2
1945,50.6
1946,53
1947,60.2
1948,80.2
1949,80.2
1950,50
1951,66
1952,80
1953,75
1954,75
1955,50
1956,72
1957,96
1958,116
1959,96.3
1960,60
1961,44.5
1962,38
1963,26.6
1964,60.8
1965,174.2
1966,70.4
1967,86.6
1968,38.6
1969,78.2
1970,66.8
1971,49.8
1972,55.1
1973,76.1
1974,68
1975,66.3
1976,82.4
1977,43.9
1978,106.3
1979,60.2
1980,55
1981,110.2
1982,53.6
1983,66.2
1984,119.4
1985,73.8
1989,21.2
1990,10.8
1991,18
1992,8.5
