UF,PE
Cidade,AGUAS BELAS
Nome Posto,AGUAS BELAS-1
Latitude,-9.105555555555556
Longitude,-37.13166666666667
Codigo,937031
Qtd. Anos,43
Ano,Maxima
1977,48.2
1978,63.8
1979,91.6
1980,33.9
1981,64.9
1982,42.1
1983,62.8
1984,35
1985,67.6
1986,54.4
1987,33
1988,42
1989,144
1990,56
1991,42
1992,57
1993,47.6
1994,72.4
1995,39.9
1996,62.1
1997,58.8
1998,24.5
1999,34.5
2000,90.2
2001,36.2
2002,63.4
2003,45.7
2004,52.3
2005,52.9
2006,5.3
2007,49.5
2008,52.6
2009,50.9
2010,101
2011,43.9
2012,28.3
2013,31.5
2014,96.5
2015,31.1
2016,22.1
2017,42.5
2018,90.4
2019,30
