UF,PE
Cidade,RECIFE
Nome Posto,RECIFE (CURADO)  
Latitude,-8.05
Longitude,-34.916666666666664
Codigo,834007
Qtd. Anos,59
Ano,Maxima
1961,77.2
1962,149.2
1963,87.6
1964,125.5
1965,176.4
1966,208.5
1967,74.7
1968,101.3
1969,135.9
1970,335.8
1971,104.8
1972,85.6
1973,165.3
1974,98
1975,99
1976,106.6
1977,92
1978,97
1979,97.2
1980,159.7
1981,71
1982,104.7
1983,123.1
1984,100.4
1985,89.4
1986,235
1987,90
1988,114.4
1989,108.9
1990,176.4
1991,102.6
1992,92
1993,79.5
1994,146
1995,120
1996,144
1997,85.6
1998,50.9
1999,81.3
2000,185.9
2001,74.6
2002,141.1
2003,145.7
2004,113.2
2005,141.1
2006,93.4
2007,118
2008,116
2009,122.8
2010,149.7
2011,135.8
2012,121.8
2013,119.8
2014,106.4
2015,139.3
2016,119.8
2017,81.6
2018,81.9
2019,147.2
