UF,PE
Cidade,INAJA
Nome Posto,INAJA (ESPIRITO SANTO)
Latitude,-8.9
Longitude,-37.833333333333336
Codigo,837022
Qtd. Anos,42
Ano,Maxima
1937,2.6
1938,32.8
1939,37.5
1940,60.9
1941,96.8
1942,106.7
1943,110
1944,55.9
1945,78.5
1946,18.4
1947,113
1948,58.9
1949,37.8
1950,65.1
1951,30.5
1952,32.9
1953,25.2
1954,23.2
1955,32.7
1956,14.7
1957,44.6
1958,77.5
1959,31.4
1960,52.4
1961,28.4
1962,33
1963,93.1
1964,35.1
1965,69
1966,60
1967,63.3
1968,49.3
1969,118.2
1970,95
1971,63
1972,47.6
1973,98.2
1974,37.7
1975,36
1976,54.5
1977,28
1978,84.5
