UF,PE
Cidade,PETROLINA
Nome Posto,PETROLINA
Latitude,-9.383333333333333
Longitude,-40.5
Codigo,940006
Qtd. Anos,75
Ano,Maxima
1911,124.5
1912,67
1913,63.6
1914,29.2
1915,20.4
1916,42.2
1917,58.7
1918,68.3
1919,50.9
1920,68.6
1921,81.2
1922,66.6
1923,69.5
1924,96.8
1925,67.9
1926,90.4
1927,67.9
1928,42.5
1929,51.4
1930,72.8
1931,35.8
1932,26.2
1933,45
1934,48.5
1935,42.6
1936,44.9
1937,60
1938,56
1939,66.6
1940,72
1941,65.3
1942,111.4
1943,31.3
1944,76.5
1945,30.7
1946,54.4
1947,76.2
1948,42
1949,71
1950,42
1951,78.5
1952,46.4
1953,65
1954,56
1955,91
1956,68.7
1957,110
1958,27.7
1959,45.2
1960,156
1961,68.9
1962,38.2
1963,56
1964,156.5
1965,82.5
1966,98
1967,81.9
1968,48
1969,51.4
1970,50
1971,51.9
1972,82.2
1973,85
1974,80
1975,65.9
1976,120.5
1977,72
1978,131.2
1979,64.6
1980,97.9
1981,59.1
1982,60.3
1983,83
1984,82.4
1985,73.4
