UF,PE
Cidade,ITAMBE (EX-TAMBE)
Nome Posto,ITAMBE
Latitude,-7.416666666666667
Longitude,-35.11666666666667
Codigo,735072
Qtd. Anos,81
Ano,Maxima
1910,62.6
1911,59.5
1912,102.8
1913,60
1914,87
1915,50.5
1916,67
1917,93.5
1918,61
1919,76
1920,53.5
1921,60.5
1922,103.5
1923,77.3
1924,82.5
1925,70.9
1926,94
1927,96.5
1928,93.3
1929,94.7
1930,51.6
1931,110.1
1932,70
1933,77.3
1934,85.6
1935,62.5
1936,91.4
1937,101.8
1938,91.6
1939,72
1940,82.5
1941,78.6
1942,90.6
1943,62.5
1944,60
1945,68.5
1946,50.7
1947,62.8
1948,76.4
1949,68.4
1950,65.3
1951,68.5
1952,48.2
1953,46.5
1954,67.3
1955,80.4
1956,76.4
1957,99
1958,41.5
1959,84.6
1960,61
1961,171.3
1962,101.3
1963,78
1964,107
1965,50.3
1966,104
1967,71.9
1968,67.4
1969,164.2
1970,145
1971,100
1972,90.2
1973,89.8
1974,65
1975,101
1976,77.2
1977,50
1978,122.5
1979,100
1980,150
1981,80
1982,75
1983,50
1984,104
1985,81
1986,180
1987,80
1988,70.6
1989,75
1990,75
