UF,PE
Cidade,LIMOEIRO
Nome Posto,LIMOEIRO
Latitude,-7.8788888888888895
Longitude,-35.45194444444445
Codigo,735100
Qtd. Anos,42
Ano,Maxima
1978,16.8
1979,59.2
1980,78.6
1981,53.8
1982,58.5
1983,98.8
1984,95.8
1985,67.4
1986,75.6
1987,49
1988,65.8
1989,65.6
1990,118.3
1991,77.8
1992,64.2
1993,36.4
1994,51.8
1995,63.7
1996,59.8
1997,50.6
1998,41.6
1999,43.8
2000,68.9
2001,58.9
2002,94.6
2003,50.6
2004,155.6
2005,125.5
2006,98.4
2007,55.6
2008,47.8
2009,49.1
2010,48.8
2011,48.9
2012,35.5
2013,42.3
2014,39.7
2015,60.5
2016,70
2017,78.5
2018,40.5
2019,90
