UF,PE
Cidade,TIMBAUBA
Nome Posto,TIMBAUBA
Latitude,-7.516666666666667
Longitude,-35.31666666666667
Codigo,735074
Qtd. Anos,80
Ano,Maxima
1910,14.5
1911,66.5
1912,59.3
1913,49.3
1914,80.4
1915,90.7
1916,97.6
1917,51.7
1918,44.2
1919,45.7
1920,60.9
1921,47.2
1922,59.2
1923,58.9
1924,69
1925,40.4
1926,53.3
1927,52.4
1928,69.7
1929,63.4
1930,23.2
1931,75
1932,57.5
1933,71.8
1934,51.8
1935,64.5
1936,71.7
1937,46.6
1938,74.6
1939,133
1940,68
1941,62.8
1942,100.1
1943,64.4
1944,45.4
1945,65
1946,35
1947,62.6
1948,53.7
1949,63.7
1950,64.5
1951,44.7
1952,38.4
1953,42.7
1954,61.2
1955,96.5
1956,67.9
1957,65.2
1958,50.2
1959,65
1960,99.9
1961,64.6
1962,58.9
1963,58.8
1964,120.2
1965,89
1966,57.4
1967,73
1968,65
1969,73
1970,122
1971,77.9
1972,95
1973,69
1974,64.2
1975,75
1976,95
1977,103
1978,150
1979,32.6
1980,91
1981,75
1982,78.4
1983,50.6
1984,58
1985,100.8
1986,68
1987,52
1988,100.9
1989,50.6
