UF,PE
Cidade,BELEM DE SAO FRANCISCO
Nome Posto,BELEM DE SAO FRANCISCO
Latitude,-8.765
Longitude,-38.96055555555556
Codigo,838004
Qtd. Anos,73
Ano,Maxima
1946,29
1947,77
1948,59
1949,88
1950,48
1951,70
1952,79.2
1953,86.5
1954,90
1955,51
1956,110
1957,120.2
1958,64.1
1959,25.5
1960,69.5
1961,56.2
1962,77
1963,72
1964,66
1965,49
1966,51.8
1967,61
1969,50
1970,60
1971,22
1972,35
1973,72
1974,93.2
1975,37.2
1976,580
1977,50.1
1978,80
1979,103.5
1980,66.2
1981,85.4
1982,58.4
1983,40
1984,46
1985,103.5
1986,71.4
1987,79
1988,130.9
1989,48.8
1990,94.8
1991,63.7
1992,84.6
1993,16.5
1994,63.6
1995,70.4
1996,82.5
1997,60.5
1998,37
1999,106.8
2000,45
2001,60.7
2002,68.3
2003,79.2
2004,156.6
2005,65.5
2006,68.1
2007,66.4
2008,60.7
2009,73.6
2010,85.1
2011,54.7
2012,31.1
2013,46.1
2014,63.6
2015,39.1
2016,90
2017,15.2
2018,67.3
2019,63.6
