UF,PE
Cidade,SALGUEIRO
Nome Posto,SALGUEIRO
Latitude,-8.066666666666666
Longitude,-39.11666666666667
Codigo,839016
Qtd. Anos,78
Ano,Maxima
1911,32.7
1912,131.6
1913,66.3
1914,50.3
1915,65
1916,71.1
1917,56.5
1918,67.3
1919,58
1920,38.2
1921,67.2
1922,51.5
1923,60
1924,72.2
1925,49
1926,67
1927,33.8
1928,85.5
1929,70
1930,69
1931,54.5
1932,47
1933,65.5
1934,64
1935,90.1
1936,51.1
1937,124
1938,73.6
1939,47
1940,62
1941,77.8
1942,38.2
1943,70
1944,74
1945,81.2
1946,44.5
1947,116
1948,90
1949,104.4
1950,62
1951,73.2
1952,113
1953,85
1954,54.3
1955,40
1956,86
1957,240
1958,125
1959,27
1960,93
1961,61.2
1962,75
1963,64
1964,97.2
1965,52.1
1966,76
1967,65.1
1968,46.1
1969,110
1970,100.2
1971,88.5
1972,59.8
1973,77.1
1974,46.8
1975,48
1976,51.1
1978,78.3
1979,123.4
1980,85
1981,130
1982,35.4
1983,47.6
1984,97.2
1985,73
1986,48.6
1987,71.3
1988,140
1989,76
