UF,PE
Cidade,SANTA MARIA DA BOA VISTA
Nome Posto,LAGOA GRANDE
Latitude,-8.998888888888889
Longitude,-40.27305555555555
Codigo,840015
Qtd. Anos,79
Ano,Maxima
1941,165
1942,83.8
1943,79
1944,89
1945,130
1946,70.4
1947,76.2
1948,165.1
1949,71.1
1950,86.4
1951,81.3
1952,90.2
1953,65.5
1954,76.5
1955,150.4
1956,68.6
1957,66
1958,92.5
1959,82.6
1960,58.9
1961,118.4
1962,95
1963,45.9
1964,46.3
1965,53.6
1966,62.4
1967,38.6
1968,68.3
1969,72.6
1970,68.4
1971,61.2
1972,68.7
1973,137
1974,70.4
1975,54.5
1976,131.5
1977,54.3
1978,103.4
1979,56.3
1980,51.2
1981,143.3
1982,34.5
1983,43.2
1984,73.1
1985,112.2
1986,66.2
1987,92.3
1988,95.2
1989,74.3
1990,31.4
1991,54.3
1992,60.3
1993,19.8
1994,92.2
1995,90
1996,46.2
1997,51.2
1998,43.2
1999,74.8
2000,100.7
2001,72
2002,82.6
2003,75
2004,135.3
2005,43.9
2006,80.2
2007,66.4
2008,68.9
2009,75.2
2010,98.2
2011,59.8
2012,48.6
2013,93.2
2014,60.2
2015,63.2
2016,98.3
2017,32.2
2018,82.5
2019,58.8
