UF,PE
Cidade,SAO CAETANO
Nome Posto,SAO CAETANO
Latitude,-8.316666666666666
Longitude,-36.15
Codigo,836039
Qtd. Anos,50
Ano,Maxima
1913,5.8
1914,67.6
1915,43.7
1916,115.7
1917,33.1
1918,26.2
1919,55.6
1920,22.6
1921,52
1922,92.8
1923,20.3
1924,76
1925,81.7
1926,106
1927,40.8
1928,27
1929,52.4
1930,78
1931,44
1962,5.7
1963,47.4
1964,30.4
1965,49.5
1966,39.2
1967,35
1968,24.2
1969,56.4
1970,68.7
1971,29.1
1972,74.2
1973,47.3
1974,82.1
1975,82.3
1976,64.3
1977,87.5
1978,46.2
1979,37.2
1980,27.2
1981,120.4
1982,55.3
1983,75.3
1984,24.1
1985,62.2
1986,51.3
1987,20.5
1988,46.5
1989,73
1990,25.5
1991,84
1992,40
