UF,PE
Cidade,BODOCO
Nome Posto,FEITORIA (SAO FELIX)
Latitude,-7.533333333333333
Longitude,-40.1
Codigo,740017
Qtd. Anos,56
Ano,Maxima
1934,33.5
1935,105.5
1936,84.5
1937,38
1938,66.5
1939,63.5
1940,47.1
1941,60.5
1942,190.6
1943,88.9
1944,320.2
1945,320.5
1946,97.5
1947,85.4
1948,68.5
1949,82
1950,210
1951,75.3
1952,325
1953,110.7
1954,68.3
1955,77
1956,54
1957,53
1958,86
1959,82.6
1960,90.8
1961,69.3
1962,14.8
1963,23.6
1964,26.4
1965,36.2
1966,60.5
1967,58.4
1968,62.2
1969,99.3
1970,79
1971,65.2
1972,97.2
1973,57.5
1974,67.6
1975,72.4
1976,89.3
1977,95.4
1978,70.2
1979,95.4
1980,87.2
1981,90.4
1982,86
1983,47.4
1984,96.4
1985,82.4
1986,94.4
1987,87.3
1988,130.4
1989,47.3
