UF,PE
Cidade,SAO JOSE DO EGITO
Nome Posto,SAO JOSE DO EGITO
Latitude,-7.466666666666667
Longitude,-37.28333333333333
Codigo,737036
Qtd. Anos,76
Ano,Maxima
1914,12.9
1915,64.4
1916,93.9
1917,95.5
1918,66.5
1919,78.4
1920,81
1921,46.5
1922,42.8
1923,65.6
1924,74.3
1925,60.2
1926,92
1927,46
1928,66.5
1929,66.7
1930,66.4
1931,32.7
1932,59.3
1933,60.2
1934,70
1935,61
1936,68.5
1937,60.3
1938,60
1939,60.4
1940,12
1941,6
1942,5.8
1943,24
1944,48.3
1945,16
1946,61
1947,54.5
1948,39.5
1949,36.4
1950,56
1951,35.5
1952,53.6
1953,28.5
1954,58
1955,137.5
1956,90
1957,80
1958,49
1959,20
1960,25
1961,84
1962,32
1963,63.6
1964,51.1
1965,96.9
1966,33.2
1967,106.1
1968,42.1
1969,75
1970,78.2
1971,82.2
1972,78
1973,74
1974,83
1975,107.8
1976,68.6
1977,107.2
1978,164
1979,37.2
1980,64.2
1981,74.8
1982,51.6
1983,30.2
1984,98.5
1985,63.4
1986,79.5
1987,101.2
1988,56.2
1991,31.6
