UF,PE
Cidade,SAO LOURENCO DA MATA
Nome Posto,ENGENHO SITIO
Latitude,-7.968055555555556
Longitude,-35.156666666666666
Codigo,735050
Qtd. Anos,53
Ano,Maxima
1967,37.3
1968,44
1969,140
1970,150.8
1971,88.3
1972,91
1973,208
1974,74
1975,541.7
1976,80
1977,62.2
1978,40
1979,54
1980,125.8
1981,50
1982,63
1983,48
1984,82
1985,81.6
1986,96.2
1987,53.8
1988,77.3
1989,60.7
1990,168.4
1991,135.4
1992,76.4
1993,50
1994,59.7
1995,98.4
1996,82.7
1997,74.6
1998,40.5
1999,65.2
2000,114
2001,62.9
2002,68.5
2003,103.7
2004,48
2005,140.9
2006,67.9
2007,83.4
2008,86.8
2009,94.9
2010,158.5
2011,90
2012,74
2013,81
2014,97.1
2015,70.5
2016,84
2017,93.2
2018,96
2019,106.7
