UF,PE
Cidade,FLORES
Nome Posto,FLORES
Latitude,-7.867777777777778
Longitude,-37.972500000000004
Codigo,737027
Qtd. Anos,109
Ano,Maxima
1911,48.9
1912,77.8
1913,65.2
1914,72.7
1915,67.1
1916,70
1917,70.5
1918,58.6
1919,66.9
1920,85.7
1921,71.2
1922,84.6
1923,72.1
1924,80.5
1925,57.2
1926,74.2
1927,70.5
1928,77.5
1929,75.6
1930,62.5
1931,52.3
1932,77.3
1933,120.5
1934,75.5
1935,90.6
1936,75
1937,79.3
1938,64.9
1939,65.4
1940,78.3
1941,105.4
1942,63.2
1943,65.5
1944,72.5
1945,62.5
1946,75
1947,52
1948,81.6
1949,102
1950,120
1951,137.8
1952,84
1953,48
1954,84.2
1955,56.6
1956,102
1957,50
1958,88
1959,30
1960,70
1961,100
1962,82
1963,75.2
1964,64
1965,89.3
1966,70
1967,75
1968,81
1969,80
1970,64.2
1971,104.6
1972,78.8
1973,31.8
1974,74.5
1975,105.3
1976,85.6
1977,71.1
1978,77.4
1979,52
1980,93.6
1981,68.6
1982,60
1983,57.2
1984,90
1985,80.6
1986,90
1987,60.4
1988,70.4
1989,50.2
1990,92
1991,123
1992,73.7
1993,52
1994,114.2
1995,87
1996,79
1997,82
1998,26.5
1999,66.6
2000,82
2001,58
2002,83
2003,36
2004,57.7
2005,110
2006,33.5
2007,83.5
2008,86.6
2009,72.6
2010,41.2
2011,92.6
2012,61.2
2013,75.1
2014,85.2
2015,67
2016,76.5
2017,46.2
2018,70.2
2019,98.5
