UF,PE
Cidade,PEDRA
Nome Posto,PEDRA
Latitude,-8.5
Longitude,-36.96666666666667
Codigo,836029
Qtd. Anos,73
Ano,Maxima
1920,26.6
1921,64
1922,65
1923,58
1924,68
1925,49
1926,62
1927,54
1928,62.8
1929,51.5
1930,55.2
1931,48.2
1932,28
1933,47.1
1934,20
1935,99
1936,60.1
1937,140
1938,45
1939,7.5
1940,57.5
1941,58.6
1942,30.4
1943,23.8
1944,99
1945,35.1
1946,28.4
1947,66
1948,21.2
1949,42
1950,47.4
1951,40.2
1952,110.4
1953,30.6
1954,66.5
1955,63.1
1956,65.3
1957,85.2
1958,39.4
1959,52.3
1960,97.1
1961,100.8
1962,48.2
1963,128
1964,100.4
1965,116.3
1966,88.3
1967,69
1968,45
1969,45.5
1970,65
1971,62
1972,46.8
1973,60.2
1974,56
1975,96.2
1976,72
1977,152.2
1978,59.2
1979,40
1980,79.6
1981,87
1982,62.6
1983,36.3
1984,107.6
1985,101.6
1986,50
1987,66
1988,54.4
1989,63.6
1990,35.8
1991,104
1992,57
