UF,PE
Cidade,SANTA CRUZ DO CAPIBARIBE
Nome Posto,SANTA CRUZ DO CAPIBARIBE
Latitude,-7.961944444444445
Longitude,-36.202222222222225
Codigo,736041
Qtd. Anos,34
Ano,Maxima
1986,45
1987,43
1988,72.5
1989,71.5
1990,26.8
1991,45.6
1992,36.2
1993,20.1
1994,51
1995,29.4
1996,28.6
1997,55.5
1998,40.8
1999,89.3
2000,61.5
2001,45.1
2002,50.5
2003,31.1
2004,86.8
2005,25
2006,44.7
2007,39.5
2008,72.3
2009,33.2
2010,113.4
2011,98.5
2012,30.9
2013,46.9
2014,59.1
2015,25.4
2016,25.3
2017,69.3
2018,139.7
2019,28.9
