UF,PE
Cidade,SAO BENTO DO UNA
Nome Posto,SAO BENTO DO UNA
Latitude,-8.516666666666667
Longitude,-36.36666666666667
Codigo,836037
Qtd. Anos,69
Ano,Maxima
1920,13.5
1921,60
1922,70.2
1923,51.6
1924,65.5
1925,52.5
1926,61.8
1927,65.7
1928,63.7
1929,60.2
1930,28.4
1931,45
1932,35.5
1933,40.8
1934,75.5
1935,63.7
1936,62.5
1937,57.5
1938,62.9
1939,34.3
1940,58.4
1941,66.7
1942,65.5
1943,24
1944,105.9
1945,62
1946,72
1947,95
1948,78
1949,153.7
1950,33.1
1951,63.3
1952,75
1953,36.7
1954,47
1955,45.5
1956,75.7
1957,69
1958,67
1959,36
1960,64.8
1961,59
1962,59.2
1963,56.5
1964,52.6
1965,57.3
1966,94.2
1967,66.8
1968,109.4
1969,89.2
1970,43.2
1971,100
1972,124.2
1973,50
1974,43.2
1975,89.2
1976,84.2
1977,84.2
1978,69
1979,55
1980,50.2
1981,106
1982,90.2
1983,57
1984,38.2
1986,37
1987,31.8
1988,51.6
1989,62.4
