UF,PE
Cidade,PETROLINA
Nome Posto,PAU FERRO
Latitude,-8.95
Longitude,-40.733333333333334
Codigo,840017
Qtd. Anos,56
Ano,Maxima
1934,45.2
1935,60.2
1936,50.3
1937,140
1938,74
1940,70
1941,90.8
1942,60.4
1943,40.1
1945,80
1946,60
1947,88
1948,36
1949,60
1950,61
1951,25
1952,26
1953,24
1954,16
1955,19
1956,47
1957,26
1959,3
1960,40
1962,49.6
1963,72.8
1964,74.4
1965,55.8
1966,62.3
1967,92
1968,82
1969,79
1970,62.3
1971,63
1972,88.3
1973,84.6
1974,76.5
1975,71.1
1976,71.2
1977,60.5
1978,40.4
1979,36.5
1980,52.3
1981,53.4
1982,27.1
1983,31.1
1984,72.5
1985,78.5
1986,41
1987,75.3
1988,88.4
1989,63.5
1990,47.5
1991,12.2
1992,83.2
1993,8.2
