UF,PE
Cidade,PAUDALHO
Nome Posto,PAUDALHO
Latitude,-7.894166666666666
Longitude,-35.17333333333333
Codigo,735066
Qtd. Anos,52
Ano,Maxima
1967,71
1968,123
1969,50.4
1970,162
1971,72.4
1972,55.6
1973,76.8
1974,91.1
1975,114.4
1976,74.8
1977,60.2
1979,28
1980,85
1981,100.9
1982,56.8
1983,38.6
1984,108.4
1985,75.4
1986,114.6
1987,72.6
1988,92.1
1989,106.4
1990,168.2
1991,119.4
1992,58.7
1993,56.2
1994,65.2
1995,112.1
1996,120.6
1997,87.4
1998,49.2
1999,52.7
2000,112.1
2001,52.2
2002,139.2
2003,55.3
2004,75.8
2005,118.9
2006,65.4
2007,62.4
2008,91.4
2009,87.7
2010,81.6
2011,82.4
2012,73.2
2013,67.2
2014,60.2
2015,54.2
2016,87.6
2017,98.7
2018,62.2
2019,81.9
