UF,PE
Cidade,SALGUEIRO
Nome Posto,CONCEICAO DAS CRIOULAS
Latitude,-8.3
Longitude,-38.93333333333333
Codigo,838009
Qtd. Anos,58
Ano,Maxima
1931,48.2
1932,28
1933,47.1
1934,20
1935,99
1936,60.3
1937,140
1938,10.4
1939,124.5
1940,59.3
1941,66.8
1942,30.4
1943,23.8
1944,99
1945,60.2
1946,68.3
1947,66
1948,31
1949,42
1952,110.4
1953,80.6
1954,70.3
1955,63.1
1956,65.3
1957,85.2
1962,31.6
1963,150.3
1964,68.3
1965,51.2
1966,43.4
1967,67.8
1968,60.5
1969,76.8
1970,63.5
1971,85.8
1972,50.2
1973,56.8
1974,64.6
1975,75.1
1976,61.1
1977,52.5
1978,60
1979,39
1980,55
1981,35
1982,38
1983,63
1984,104.1
1985,83.6
1986,56.2
1987,135.4
1988,64.5
1989,55.2
1990,50.4
1991,50.3
1992,85.2
1993,30.2
1994,98.2
