UF,PE
Cidade,INAJA
Nome Posto,INAJA
Latitude,-8.920833333333333
Longitude,-37.830555555555556
Codigo,837038
Qtd. Anos,46
Ano,Maxima
1972,47.6
1973,98.2
1974,37.7
1975,36
1978,84.5
1979,33
1980,56
1981,100.6
1982,18.5
1983,47
1984,59
1985,79.7
1986,93
1987,48
1988,47.2
1989,122
1990,115.2
1991,94.2
1992,89
1993,37
1994,48.8
1995,60.4
1996,37.2
1997,105.2
1998,16.2
1999,40.7
2000,60.8
2001,36
2002,47.7
2003,60.4
2004,52.2
2005,62.5
2006,67.9
2007,33.7
2008,84.7
2009,79.1
2010,38.2
2011,66.3
2012,13.9
2013,17.3
2014,24.5
2015,27.5
2016,34.4
2017,16.8
2018,97.2
2019,125.6
