UF,PE
Cidade,MIRANDIBA
Nome Posto,ACUDE SERRINHA
Latitude,-8.239722222222222
Longitude,-38.52777777777778
Codigo,838002
Qtd. Anos,58
Ano,Maxima
1962,39.3
1963,56
1964,79.4
1965,44.4
1966,59.6
1967,93
1968,70
1969,52
1970,57
1971,72
1972,101
1973,78
1974,88
1975,70.2
1976,102
1977,58
1978,67.3
1979,123
1980,81
1981,74.2
1982,48.8
1983,39
1984,89.4
1985,85
1986,75.2
1987,75
1988,84.1
1989,68.6
1990,71.6
1991,125
1992,143
1993,80
1994,65.2
1995,62.5
1996,40
1997,65.1
1998,34.6
1999,82.5
2000,100.8
2001,38.6
2002,58.3
2003,92.2
2004,78.3
2005,88.9
2006,52.1
2007,84.3
2008,89.2
2009,120.1
2010,50.9
2011,78.6
2012,48
2013,46
2014,21.7
2015,43.7
2016,31
2017,47.7
2018,90
2019,42
