UF,PE
Cidade,BETANIA
Nome Posto,BETANIA
Latitude,-8.283333333333333
Longitude,-38.03333333333333
Codigo,838005
Qtd. Anos,60
Ano,Maxima
1934,10.8
1935,17
1936,38.5
1937,63.4
1938,53.5
1939,61.5
1940,70.7
1941,110
1942,58.9
1943,59
1944,72.6
1945,60.2
1946,76
1947,56.7
1948,76
1949,58.3
1950,110.8
1951,47
1952,66.5
1953,60
1954,92
1955,35
1956,54.5
1957,55
1958,70
1959,75
1960,110.7
1961,35.4
1962,42.2
1963,67
1964,82.3
1965,70.2
1966,111.3
1967,88.3
1968,56
1969,48.4
1970,72
1971,64.2
1972,73.6
1973,57.3
1974,121
1975,63
1976,104
1977,81.2
1978,67.8
1979,55.2
1980,71
1981,75
1982,72
1983,62.4
1984,110
1985,81.4
1986,68
1987,60.8
1988,81
1989,52
1990,71
1991,54
1992,63
2001,23
