UF,PE
Cidade,CABROBO
Nome Posto,CABROBO-1
Latitude,-8.5
Longitude,-39.31666666666667
Codigo,839002
Qtd. Anos,55
Ano,Maxima
1911,12.8
1912,92.9
1913,65.5
1914,69.4
1915,82
1916,99
1917,67.5
1918,35
1919,35
1920,80.3
1921,67.5
1922,63.5
1923,25.5
1924,60
1925,64
1926,51.7
1927,67.5
1928,68.3
1929,46.5
1930,43.1
1936,58.7
1937,70
1938,73
1939,49
1940,142.5
1941,94.5
1942,24.2
1943,45.2
1944,67.5
1945,63.5
1946,60.8
1947,72.5
1948,36.5
1949,56.8
1950,41.4
1951,70.8
1952,86.1
1953,38.2
1954,116.2
1955,125.2
1956,34.8
1958,67
1959,45.3
1960,74.4
1961,35.5
1962,13.4
1963,140.4
1964,118.2
1965,84.8
1966,88.8
1967,105.8
1968,51.1
1969,58.1
1970,76.9
1983,3.8
