UF,PE
Cidade,BUIQUE
Nome Posto,BUIQUE
Latitude,-8.616666666666667
Longitude,-37.166666666666664
Codigo,837009
Qtd. Anos,66
Ano,Maxima
1920,61.3
1921,63.5
1922,63.5
1923,45.5
1924,61.6
1925,42.5
1926,60.8
1927,62.2
1928,45.1
1929,65.2
1930,102.6
1931,48.2
1934,26.5
1935,36.6
1936,46.2
1937,63.5
1938,37.7
1939,72
1940,80.5
1941,132
1942,67.2
1943,72.5
1944,65.8
1945,61.8
1946,72.7
1947,141.6
1948,61.1
1949,70.5
1950,83.5
1951,94.2
1952,85.6
1953,95.7
1954,75.6
1955,65.5
1956,58.3
1957,48.5
1958,35.4
1959,40.6
1960,128.4
1961,42.7
1962,25.4
1963,68.6
1964,88.2
1965,46.7
1966,35.8
1967,38.8
1968,68.5
1969,48.3
1970,32.3
1971,47.8
1972,95
1973,38.7
1974,186.3
1975,71
1976,91.2
1977,45.6
1979,52.2
1980,175
1981,75.2
1983,64
1984,75
1985,132
1986,54.1
1987,61
1988,118
1989,45
