UF,PE
Cidade,FLORESTA
Nome Posto,AIRI (ROCHEDO)
Latitude,-8.539166666666667
Longitude,-38.19277777777778
Codigo,838000
Qtd. Anos,86
Ano,Maxima
1934,17
1935,78.3
1936,39
1937,57.7
1938,28
1939,41.5
1940,160
1941,62.2
1942,65.4
1943,60
1944,63.8
1945,39.2
1946,62
1947,91.4
1948,102.5
1949,51
1950,57
1951,35
1952,90
1953,97.5
1954,43
1955,41
1956,40.5
1957,44.5
1958,76.6
1959,80
1960,101.4
1961,62
1962,48
1963,59.6
1964,42
1965,38
1966,82
1967,80
1968,63
1969,120
1970,34.4
1971,48.5
1972,45.5
1973,61
1974,83.6
1975,31
1976,55.2
1977,75.9
1978,96.5
1979,92
1980,116
1981,109
1982,59
1983,73
1984,70
1985,64
1986,48
1987,61
1988,95
1989,60
1990,42
1991,50
1992,52
1993,26
1994,70
1995,50
1996,63
1997,55.5
1998,38
1999,64.3
2000,74
2001,37.5
2002,107
2003,74
2004,75
2005,50
2006,40
2007,42
2008,47.4
2009,44.5
2010,45.3
2011,58.5
2012,46
2013,46
2014,58.3
2015,44.5
2016,28.7
2017,42
2018,45
2019,65.5
