UF,PE
Cidade,GRAVATA
Nome Posto,GRAVATA
Latitude,-8.216666666666667
Longitude,-35.56666666666667
Codigo,835030
Qtd. Anos,52
Ano,Maxima
1933,6.7
1934,30.7
1935,71.3
1936,50.5
1937,84
1938,35.4
1939,46
1940,114.2
1941,39.7
1942,47.2
1943,48
1944,26
1945,38
1946,54
1947,51
1948,86.5
1949,104
1950,16
1951,70.5
1952,14
1953,63
1954,93
1955,53
1956,45.5
1957,62.5
1958,37
1959,75
1960,49
1961,89
1963,85
1964,70.3
1965,79.6
1966,63.3
1967,50.1
1968,41.2
1969,64.9
1970,60
1971,37
1972,49
1973,70
1974,90
1975,100
1976,54
1977,71
1978,71
1979,31
1980,52
1981,73.6
1982,11
1983,44.2
1984,20.2
1985,80
