UF,PE
Cidade,GOIANA
Nome Posto,GOIANA
Latitude,-7.566666666666666
Longitude,-35
Codigo,735052
Qtd. Anos,43
Ano,Maxima
1911,50.4
1917,70.2
1920,100.8
1925,85.8
1926,79
1927,81.8
1928,148.2
1929,164.9
1930,95.2
1931,145.4
1932,198.4
1933,132.4
1934,142.8
1935,142.4
1936,286.2
1937,142.2
1938,217.3
1939,123.6
1940,135.2
1941,300
1942,149
1943,80.2
1944,156.7
1945,105.6
1946,89.4
1947,106.4
1954,65.5
1955,109.5
1956,77.8
1957,165.6
1958,94.8
1959,152.6
1960,83.6
1961,174.8
1962,151.4
1963,145.4
1964,84.2
1965,83
1966,102.6
1967,117.2
1968,63.1
1969,64.8
1970,89
