UF,PE
Cidade,PARNAMIRIM
Nome Posto,JACARE
Latitude,-8.262777777777778
Longitude,-39.84722222222222
Codigo,839009
Qtd. Anos,58
Ano,Maxima
1962,17.2
1963,53.4
1964,88.8
1965,56.6
1966,34.5
1967,92.3
1968,42.2
1969,79.3
1970,55
1971,99.3
1972,52
1973,81.6
1974,95.6
1975,45
1976,80.4
1977,61.2
1978,111.8
1979,77.4
1980,85.8
1981,18.6
1982,55.8
1983,56.7
1984,79.2
1985,90.4
1986,60.4
1987,48.2
1988,81.6
1989,81.8
1990,68.4
1991,75
1992,66.4
1993,37.2
1994,60.8
1995,139.4
1996,74.2
1997,69.8
1998,57
1999,56.8
2000,58.2
2001,106
2002,69.2
2003,98.8
2004,56.2
2005,44.2
2006,58.2
2007,40.6
2008,51.2
2009,55.4
2010,73.4
2011,68.8
2012,79.8
2013,72.2
2014,47.2
2015,50.8
2016,96.4
2017,27.2
2018,72.2
2019,66.2
