UF,PE
Cidade,CORRENTES
Nome Posto,CORRENTES
Latitude,-9.116666666666667
Longitude,-36.333333333333336
Codigo,936004
Qtd. Anos,55
Ano,Maxima
1934,39
1935,38
1937,49.2
1938,49.2
1939,35.1
1940,36.8
1941,91
1942,54.6
1943,30
1944,9
1945,7.2
1946,6.1
1947,6.3
1948,5.1
1949,6.2
1950,3.3
1951,9.5
1952,9.3
1953,6.5
1954,6.5
1955,6.2
1956,37.5
1957,64.3
1958,70.4
1959,66.3
1960,73
1961,63.7
1962,114.4
1963,117.8
1964,75.2
1965,91.2
1966,52.8
1967,75.5
1968,51.8
1969,138
1970,66.6
1971,32
1972,73
1973,55.8
1974,37
1975,44
1976,35
1977,60.7
1978,82
1979,80.6
1980,80
1981,85
1982,51
1983,40.2
1984,100
1985,93
1986,50.4
1987,27.4
1988,210
1989,151.1
