UF,PE
Cidade,VERTENTES
Nome Posto,VERTENTES
Latitude,-7.916666666666667
Longitude,-35.983333333333334
Codigo,735085
Qtd. Anos,103
Ano,Maxima
1912,99.2
1913,17.3
1914,60.3
1915,66.1
1916,71.2
1917,61.8
1918,52.5
1919,40.3
1920,63
1921,52
1922,63.7
1923,63.5
1924,35
1925,32.4
1926,26.9
1927,1.3
1928,58.9
1929,76.3
1930,75.6
1931,102.5
1932,31.8
1933,40
1934,63.8
1935,67.8
1936,48.3
1937,49.5
1938,35.6
1939,7.3
1940,52
1941,62.5
1942,54.6
1943,96
1944,81.5
1945,110.5
1946,61.9
1947,84.3
1948,43.5
1949,43.5
1950,42.6
1951,54.1
1952,42.3
1953,49.2
1954,50.6
1955,36.3
1956,37.5
1957,53.4
1958,8.5
1962,13
1963,25
1964,25
1965,60.2
1966,176
1967,75.4
1968,75.7
1969,86
1970,67.2
1971,84.3
1972,57.2
1973,59.2
1974,72.2
1975,84.2
1976,64.2
1977,108.6
1978,39.4
1979,100.2
1980,49.2
1981,99.4
1982,98.6
1983,37.8
1984,91.4
1985,91.2
1988,10
1989,76.6
1990,43
1991,38.5
1992,46
1993,28.2
1994,40.7
1995,38.2
1996,57.3
1997,65
1998,36.7
1999,59.4
2000,80.6
2001,52.2
2002,65.7
2003,25.7
2004,49.7
2005,36.4
2006,47.1
2007,51.8
2008,74.9
2009,86.7
2010,47
2011,58.4
2012,35.2
2013,73.4
2014,59.3
2015,48.7
2016,41.6
2017,36.5
2018,47.4
2019,38.9
