UF,PE
Cidade,SAO LOURENCO DA MATA
Nome Posto,SAO LOURENCO DA MATA II
Latitude,-7.998611111111111
Longitude,-35.03194444444444
Codigo,835048
Qtd. Anos,56
Ano,Maxima
1963,73.1
1964,45.3
1965,41.1
1966,108.3
1967,29.8
1968,117.7
1969,50.3
1970,144.2
1971,136.1
1972,100.3
1973,129.2
1974,119.3
1975,123.4
1976,112.4
1977,71.6
1978,42.1
1979,36.4
1980,139.4
1981,30.4
1982,36.2
1984,88.6
1985,104.2
1986,100.2
1987,52.2
1988,84.4
1989,94.2
1990,165
1991,106
1992,88.7
1993,73.5
1994,162.7
1995,89.3
1996,144.5
1997,119
1998,89.2
1999,95.8
2000,116.5
2001,90.6
2002,98.2
2003,73.9
2004,67.6
2005,91.9
2006,86
2007,76.5
2008,97.2
2009,95.9
2010,66.7
2011,103.3
2012,104.3
2013,57.5
2014,103.1
2015,119.7
2016,147
2017,97.9
2018,71.7
2019,127.3
