UF,PE
Cidade,PETROLANDIA
Nome Posto,ICO
Latitude,-8.866666666666667
Longitude,-38.46666666666667
Codigo,838023
Qtd. Anos,47
Ano,Maxima
1937,87.8
1938,30.4
1939,23.4
1940,77.7
1941,42
1942,114.7
1943,52.5
1944,97.3
1945,91.3
1946,30.7
1947,70
1948,80.5
1949,63
1950,94.6
1951,46.4
1952,98.7
1953,68
1954,61.5
1955,33.5
1956,39
1957,71.2
1958,25
1959,45.8
1960,72
1961,33.8
1962,40.1
1963,69
1964,64.2
1965,92.8
1966,72
1967,60.2
1968,50
1969,67
1970,45
1971,101.4
1972,91.4
1973,128.4
1974,66.5
1975,53.4
1976,116
1977,114
1978,85
1979,78
1980,150
1981,117
1982,40
1983,55
