UF,PE
Cidade,SERRITA
Nome Posto,SERRITA (SERRINHA)
Latitude,-7.933333333333334
Longitude,-39.31666666666667
Codigo,739028
Qtd. Anos,59
Ano,Maxima
1934,41.9
1935,55.5
1936,52.7
1937,100
1939,130.5
1940,105
1941,86
1942,48.3
1943,42.3
1944,78
1945,38.6
1946,50
1947,126.7
1948,96
1949,157.5
1950,57.5
1951,58
1952,52.7
1953,105
1954,82
1955,55.6
1956,45.4
1957,68.8
1958,78
1959,33.2
1960,150
1961,56.5
1962,75
1963,83
1964,81.3
1965,46.1
1966,76
1967,56.4
1968,47
1969,48
1970,95
1971,69.4
1972,43
1973,59
1974,80
1975,55
1976,40
1977,82
1978,95
1979,97
1980,61
1981,86
1982,65
1983,53
1984,71
1985,81
1986,116.1
1987,46
1988,84
1989,76
1990,132
1991,65
1992,23
1993,38
