UF,PE
Cidade,PALMARES
Nome Posto,PALMARES
Latitude,-8.679444444444444
Longitude,-35.577222222222225
Codigo,835141
Qtd. Anos,91
Ano,Maxima
1920,47.6
1921,68.2
1922,69.1
1923,84.7
1924,75.5
1934,70.7
1935,126.2
1936,80
1937,110
1938,102.2
1939,80.9
1940,75.8
1941,64.6
1942,68.6
1943,73.5
1944,98.9
1945,42.3
1946,66.4
1947,97.3
1948,58.6
1949,99.8
1950,55.3
1951,99.1
1952,34.1
1953,48.8
1954,84.4
1955,62.8
1956,128.1
1957,51.7
1958,76.7
1959,81.2
1960,88
1961,139.3
1962,83.5
1963,86.8
1964,161.9
1965,70.9
1966,116.8
1967,76.8
1968,28.5
1969,98.6
1970,148
1971,94
1972,23.1
1973,84.8
1974,66.8
1975,68.2
1976,54.8
1977,90.6
1978,92.6
1979,79.4
1980,112
1981,50.2
1982,107
1983,50.5
1984,116
1985,85
1986,105
1987,51
1988,70.2
1989,36.4
1990,48.5
1991,88.3
1992,75.6
1993,47.4
1994,70
1995,55.6
1996,73.4
1997,79.6
1998,74.8
1999,57.6
2000,143.2
2001,69.8
2002,87.2
2003,49.6
2004,77.9
2005,56
2006,38.5
2007,62.4
2008,79.4
2009,93.3
2010,53.8
2011,250.6
2012,42.6
2013,100.8
2014,55.6
2015,65.4
2016,91.9
2017,70.7
2018,59.5
2019,82.1
