UF,PE
Cidade,BOM CONSELHO
Nome Posto,BOM CONSELHO
Latitude,-9.166666666666666
Longitude,-36.68333333333333
Codigo,936001
Qtd. Anos,50
Ano,Maxima
1934,20.3
1935,157
1936,6
1937,2.2
1938,2.3
1939,2.7
1940,2.4
1941,18
1942,34.8
1943,42.3
1944,160
1945,76.8
1946,30.5
1947,40
1948,55.6
1949,120
1950,68.5
1951,38.2
1952,7
1953,18
1954,53
1955,80.5
1956,6.1
1957,5.2
1958,3.2
1959,4.3
1960,8.3
1961,3.4
1962,3.4
1963,45.4
1964,37.3
1965,55.5
1966,50.6
1967,28.3
1968,81.3
1969,125.8
1970,44.6
1971,39.8
1972,50.3
1973,62.6
1974,67.6
1975,50.4
1976,47.2
1977,73.2
1978,43.7
1979,73.2
1980,54
1981,119.4
1984,100
1985,51.5
