UF,PE
Cidade,TRIUNFO
Nome Posto,TRIUNFO
Latitude,-7.833333333333333
Longitude,-38.11666666666667
Codigo,738032
Qtd. Anos,74
Ano,Maxima
1911,26.7
1912,74
1913,72
1914,69
1915,65.3
1916,98.3
1917,54
1918,67.3
1919,58.6
1920,70
1921,48.8
1922,67.7
1923,64.5
1924,85
1925,60
1926,57.6
1927,29
1928,78
1929,64.7
1930,58.5
1931,60.5
1933,131.8
1934,51.5
1935,71.8
1936,60
1937,161
1938,156.2
1939,160.2
1940,144
1941,105.1
1942,88
1943,84.3
1944,61.5
1945,60.8
1946,78.3
1947,108.2
1948,133.1
1949,84.5
1950,65.1
1951,82
1952,157
1953,98.3
1954,98.4
1955,56
1956,95.9
1957,33.8
1958,58.4
1959,60.7
1960,102.4
1961,69
1962,126.8
1963,130.7
1964,77
1965,65.5
1966,67.3
1967,83.4
1968,75.9
1969,120
1970,104.1
1971,84.3
1972,213.4
1973,78.6
1974,115.2
1975,105.4
1976,111
1977,77.4
1978,103.8
1979,74
1980,112.3
1981,55.1
1982,65.4
1983,50.1
1984,57.8
1985,99.6
