UF,PE
Cidade,FLORESTA
Nome Posto,FLORESTA-2
Latitude,-8.606388888888889
Longitude,-38.578611111111115
Codigo,838021
Qtd. Anos,43
Ano,Maxima
1977,70
1978,72
1979,91
1980,62
1981,175
1982,90.6
1983,60.2
1984,73
1985,90.2
1986,53.6
1987,65.6
1988,97.8
1989,78.4
1990,85.2
1991,60.7
1992,80.7
1993,33.2
1994,130.7
1995,58.5
1996,80.2
1997,48.7
1998,63.7
1999,85.7
2000,42.5
2001,104.7
2002,136.6
2003,53.5
2004,97.5
2005,98
2006,42
2007,68.4
2008,82.9
2009,62.7
2010,140
2011,34.2
2012,20.5
2013,74.9
2014,73.3
2015,44.1
2016,51.9
2017,81.3
2018,121.5
2019,53.7
