UF,PE
Cidade,TACARATU
Nome Posto,TACARATU
Latitude,-9.1
Longitude,-38.15
Codigo,938002
Qtd. Anos,74
Ano,Maxima
1920,56
1921,58.2
1922,56
1923,50.4
1924,50.4
1925,50.4
1926,50.4
1927,44.8
1928,34.8
1929,50.4
1930,47.6
1931,56
1932,19.1
1933,50.6
1934,55.3
1935,52.4
1936,66.5
1937,58.5
1938,23.5
1939,32.5
1940,94
1941,87.5
1942,65
1943,32.5
1944,71.5
1945,68
1946,58.5
1947,117
1948,91
1949,43
1950,66
1951,26
1952,56
1953,49.5
1954,100.5
1955,54
1956,84
1957,85
1958,24
1959,63
1960,42
1961,60
1962,25.2
1963,96.4
1964,68.3
1965,60.2
1966,70.5
1967,130.2
1968,60
1969,118
1970,105
1971,41.2
1972,96.5
1973,71.4
1974,104.2
1975,95.3
1976,56
1977,80
1978,84
1979,64.2
1980,65.5
1981,96.5
1982,22
1983,55.3
1984,60
1985,60
1986,50.2
1987,61
1988,69
1989,95
1990,35
1991,48
1992,2
1993,90
