UF,RN
Cidade,SAO MIGUEL
Nome Posto,ACUDE BONITO
Latitude,-6.212777777777778
Longitude,-38.425555555555555
Codigo,638044
Qtd. Anos,57
Ano,Maxima
1963,74
1964,95.4
1965,81
1966,80.6
1967,106.3
1968,62.3
1969,30.9
1970,78.3
1971,50.3
1972,74.9
1973,110.9
1974,81.6
1975,78.8
1976,80.5
1977,88.2
1978,99
1979,107
1980,72.4
1981,45.2
1982,48.4
1983,88.4
1984,79
1985,71.2
1986,60.6
1987,50.2
1988,86.2
1989,65
1990,111
1991,89.6
1992,135.4
1993,85.2
1994,67.2
1995,48.2
1996,100.4
1997,77
1998,51.6
1999,56.2
2000,93.2
2001,56.4
2002,78.4
2003,58.2
2004,108.1
2005,43.5
2006,82.5
2007,56.5
2008,94.5
2009,58.7
2010,97.6
2011,43.3
2012,81
2013,89
2014,120
2015,54.3
2016,61.4
2017,44.1
2018,80
2019,71.6
