UF,RN
Cidade,LAJES
Nome Posto,LAJES (ITARETAMA)
Latitude,-5.7
Longitude,-36.25
Codigo,536009
Qtd. Anos,56
Ano,Maxima
1930,14.3
1931,24.1
1932,49
1933,45.6
1934,64.5
1935,67.7
1936,82.6
1937,62.5
1938,68.5
1939,90
1940,129.2
1941,45.9
1942,17.5
1943,68
1944,48.3
1945,67
1946,13
1947,66
1948,48
1949,80.8
1950,96
1951,54
1952,78
1953,38
1954,48.3
1955,72.6
1956,52
1957,96
1958,25.2
1959,50.5
1960,60.5
1961,90.8
1962,14
1963,50
1964,92.1
1965,77.4
1966,91.4
1967,78.2
1968,92
1969,49.2
1970,47
1971,73
1972,57.8
1973,77.4
1974,95.2
1975,47.6
1976,36
1977,43.6
1978,24.4
1979,68.5
1980,44
1981,88.2
1982,60
1983,25
1984,135
1985,80
