UF,RN
Cidade,SAO JOAO DO SABUGI
Nome Posto,SAO JOAO DO SABUGI - EMATER
Latitude,-6.716666666666667
Longitude,-37.2
Codigo,637014
Qtd. Anos,74
Ano,Maxima
1911,53
1912,65
1913,64.3
1914,68.1
1915,50
1916,67
1917,68.2
1918,34.5
1919,16.6
1920,66
1921,92.9
1922,58
1923,64
1924,70.6
1925,62.5
1926,63.2
1927,68
1928,51.5
1929,64.3
1930,64
1931,65
1932,59.6
1933,62
1934,71.2
1935,64.5
1936,86.4
1937,70
1938,72
1939,80
1940,122
1941,54.4
1942,63
1943,45.5
1944,70
1945,95.2
1946,71
1947,55.5
1948,71.5
1949,117
1950,33
1951,110
1952,76
1953,56
1954,66
1955,60
1956,51
1957,48
1958,51
1959,90.3
1960,65
1961,60
1962,44
1963,86.5
1964,96
1965,72.2
1966,60
1967,70
1968,92
1969,57.2
1970,50.5
1971,110.1
1972,123.8
1973,77.1
1974,70
1975,120
1976,81
1977,60
1978,109
1979,116
1980,82
1981,86
1982,77
1983,48
1994,61
