UF,RN
Cidade,SAO VICENTE
Nome Posto,SAO VICENTE (LUIZA)
Latitude,-6.216666666666667
Longitude,-36.68333333333333
Codigo,636010
Qtd. Anos,63
Ano,Maxima
1933,29.5
1934,76.9
1935,58.3
1936,84.3
1937,64.3
1938,94.7
1939,77
1940,71.8
1941,50.3
1942,45
1943,77
1944,78
1945,53.5
1946,74.5
1947,57.2
1948,50.3
1949,93
1950,50
1951,49.2
1952,81
1953,10.4
1954,87
1955,70.4
1956,70.4
1957,72.5
1958,47.8
1959,51.5
1960,105.4
1961,100
1962,83.8
1963,73
1964,109.2
1965,40.4
1966,112.4
1967,76.6
1968,62.7
1969,62.5
1970,45.1
1971,80.6
1972,40.2
1973,58.1
1974,93.3
1975,55.2
1976,67.2
1977,101.2
1978,85.4
1979,65.6
1980,50.8
1981,92.6
1982,75
1983,57
1984,61.8
1985,74
1986,58
1987,65
1988,52
1989,65
1990,42
1991,57
1994,60.2
1995,37
1996,59
1997,46
