UF,RN
Cidade,SANTA CRUZ
Nome Posto,SANTA CRUZ
Latitude,-6.233333333333333
Longitude,-36.016666666666666
Codigo,636021
Qtd. Anos,74
Ano,Maxima
1912,0.8
1913,56.5
1914,67.8
1915,44.2
1916,70.2
1917,7
1918,32.3
1919,26.5
1920,83
1921,99.1
1922,44.3
1923,33.3
1924,75.4
1925,53
1926,66.8
1927,67.7
1928,32.2
1929,44.1
1930,25.3
1931,49
1932,30.2
1933,35
1934,62.2
1935,45
1936,70
1937,72.2
1938,106.4
1939,82.6
1940,87.7
1941,140
1942,56.5
1943,36
1944,37.7
1945,64.7
1946,36.5
1947,115.1
1948,31
1949,53.5
1950,33.5
1951,39
1952,82.5
1953,38
1954,41
1955,128.2
1956,87.8
1957,117.8
1958,28.1
1959,25
1960,56.6
1961,60.7
1962,126
1963,104.4
1964,103
1965,65.1
1966,72.2
1967,84
1968,95
1969,68.7
1970,70
1971,38.9
1972,45.1
1973,60
1974,124.2
1975,60
1976,100.1
1977,53.3
1978,34.2
1979,71.1
1980,50.6
1981,107
1982,58.6
1983,17.4
1984,85.2
1985,59
