UF,RN
Cidade,PARELHAS
Nome Posto,PARELHAS
Latitude,-6.683333333333334
Longitude,-36.666666666666664
Codigo,636018
Qtd. Anos,68
Ano,Maxima
1921,55.4
1922,42.7
1923,93
1924,110.5
1925,49.2
1926,58.6
1927,48
1928,42.7
1929,59.8
1930,36
1931,37
1932,72.4
1933,48
1934,55
1935,45
1936,57.6
1937,67
1938,80.2
1939,55
1940,74
1941,42
1942,62
1943,62
1944,80
1945,185
1946,115
1947,143
1948,50
1949,50
1950,53.3
1951,35
1952,75
1953,31
1954,120
1955,58
1956,48
1957,70
1958,30
1959,79
1960,54
1961,72
1962,50
1963,66
1964,105
1965,75
1966,96
1967,108
1968,55
1969,68.3
1970,44
1971,74.5
1972,145
1973,108.3
1974,69.6
1975,119.3
1976,127
1977,20
1978,98
1979,63
1980,113
1981,126
1982,97
1983,58
1984,70.9
1985,34.6
1986,45
1987,31.4
1988,61
