UF,RN
Cidade,PARAU
Nome Posto,PARAU
Latitude,-5.783333333333333
Longitude,-37.1
Codigo,537027
Qtd. Anos,68
Ano,Maxima
1923,52.5
1924,63.5
1925,60.5
1926,110
1927,48
1928,46.2
1929,64.6
1930,51.4
1931,53.2
1932,52
1933,57.5
1934,63
1935,68
1936,71
1937,95
1938,58.5
1939,74.6
1940,59
1941,45
1942,44
1943,36.2
1944,45.5
1945,42
1946,57.5
1947,86
1948,80
1949,70
1950,52
1951,40
1952,70
1953,15
1954,47
1955,35.5
1956,90
1957,75
1958,28
1959,70
1960,70
1961,75
1962,50
1963,66
1964,66
1965,61.6
1966,94
1967,71.8
1968,85
1969,56.2
1970,48.3
1971,73.5
1972,51
1973,52.5
1974,97
1975,138
1976,54
1977,70.1
1978,108.2
1979,60
1980,65
1981,46.1
1982,118.2
1983,25
1984,40
1985,80
1986,57
1987,73.2
1988,96
1989,180
1990,40.3
