UF,RN
Cidade,PATU
Nome Posto,PATU
Latitude,-6.1
Longitude,-37.63333333333333
Codigo,637000
Qtd. Anos,81
Ano,Maxima
1911,57.5
1912,63.4
1913,54.3
1914,73.3
1915,47.8
1916,60
1917,69.1
1918,66.4
1919,30.5
1920,98.1
1921,93.2
1922,70.6
1923,65.3
1924,3
1925,67.4
1926,66
1927,80
1928,66.3
1929,69.2
1930,51.2
1931,58.3
1932,50.6
1933,32.6
1934,90
1935,100.2
1936,70
1937,87
1938,74
1939,62
1940,50
1941,45
1942,42
1943,62
1944,78
1945,53
1946,95
1947,51
1948,57
1949,193
1950,150
1951,158
1952,260
1953,123
1954,183
1955,103
1956,82
1957,128
1958,106
1959,145
1960,116
1961,150
1962,88
1963,90
1964,81
1965,91
1966,81.2
1967,93
1968,81.7
1969,111.6
1970,54.1
1971,107
1972,68.6
1973,47
1974,68
1975,149.2
1976,119.3
1977,85.5
1978,94
1979,62.2
1980,131.2
1981,103
1982,67.2
1983,54.3
1984,145.6
1985,89.2
1986,75
1987,109.2
1988,147.4
1989,76.6
1990,95
1991,48
