UF,RN
Cidade,PEDRO AVELINO
Nome Posto,PEDRO AVELINO
Latitude,-5.516666666666667
Longitude,-36.38333333333333
Codigo,536019
Qtd. Anos,60
Ano,Maxima
1934,46.3
1935,70.3
1936,106.4
1937,95.6
1938,54.4
1939,68.5
1940,72
1941,81.2
1942,55
1943,23
1944,53
1945,65.2
1946,66.2
1947,52.5
1948,66.4
1949,44.7
1950,58.2
1951,57.8
1952,43
1953,44.5
1954,38.6
1955,68.4
1956,43.6
1957,63.6
1958,15.4
1959,45.7
1960,87.3
1961,26.6
1962,45.5
1963,66.2
1964,118.2
1965,54.6
1966,61.4
1967,63.5
1968,62.4
1969,24.6
1970,49.4
1971,40.8
1972,80
1973,50.2
1974,115.2
1975,92.2
1976,33
1977,30
1978,57
1979,35
1980,3.8
1981,50
1982,31.4
1983,48.2
1984,70
1985,79
1986,103
1987,52.4
1988,42.4
1989,92.2
1990,44
1991,105.4
1994,55
1995,48.4
