UF,RN
Cidade,AREIA BRANCA
Nome Posto,AREIA BRANCA
Latitude,-4.95
Longitude,-37.13333333333333
Codigo,437012
Qtd. Anos,79
Ano,Maxima
1911,53.4
1912,69.4
1913,67.8
1914,57.5
1915,30.1
1916,45
1917,84
1918,55
1919,27
1920,60
1921,60
1922,63.7
1923,64
1924,78.3
1925,63
1926,64.1
1928,92.5
1929,69.2
1930,51.8
1931,56
1932,63.8
1933,67.8
1934,86.4
1935,271.2
1936,54.1
1937,195.4
1938,75.3
1939,64.8
1940,110.9
1941,70.1
1942,32.5
1943,52.8
1945,60
1946,105
1947,49.8
1948,46.5
1949,38.6
1950,75.8
1951,38.6
1952,36.4
1953,23.7
1954,42.7
1955,72.5
1956,36.5
1957,100.3
1958,26.5
1959,70
1960,75.5
1961,79.5
1962,52.5
1963,175
1964,64.5
1965,93
1966,87.5
1967,94
1968,61
1969,65
1970,125
1971,70.3
1972,45.4
1973,47.8
1974,195.2
1975,55
1976,80.2
1977,52.5
1978,99.5
1979,51
1980,58.8
1981,67.8
1982,101.2
1983,24.2
1984,134.6
1985,120.4
1986,95.8
1987,92.5
1988,49
1989,102.5
1990,38.6
1991,74.8
