UF,RN
Cidade,CURRAIS NOVOS
Nome Posto,CURRAIS NOVOS
Latitude,-6.266666666666667
Longitude,-36.516666666666666
Codigo,636025
Qtd. Anos,81
Ano,Maxima
1910,35.3
1911,30
1912,60
1913,68.5
1914,68
1915,14
1916,68.5
1917,64
1918,62
1919,40
1920,28.5
1921,78
1922,66.5
1923,66
1924,44
1925,68
1926,70.5
1927,25.6
1928,40
1929,22
1930,28.5
1931,9.5
1932,36.4
1933,29.8
1934,74.6
1935,48
1936,49
1937,58.5
1938,43.2
1939,58.7
1940,64
1941,59.5
1943,67
1944,65
1945,62
1946,68
1947,85
1948,33
1949,62
1950,52
1951,88
1952,96
1953,22
1954,35
1955,45
1956,80
1957,55
1958,20
1959,48
1960,48
1961,56
1963,67.2
1964,76
1965,55.2
1966,100.2
1967,75.8
1968,87.2
1969,50
1970,53.4
1971,70.1
1972,94.5
1973,74
1974,95
1975,44
1976,47
1977,74.4
1978,52
1979,59
1980,34
1981,66.6
1982,103.6
1983,31.8
1984,35.6
1985,88.6
1986,47
1987,64.4
1988,135
1989,75
1990,51.4
1991,67
1994,83.4
