UF,RN
Cidade,MARCELINO VIEIRA
Nome Posto,MARCELINO VIEIRA (PANATIS)
Latitude,-6.283333333333333
Longitude,-38.166666666666664
Codigo,638040
Qtd. Anos,55
Ano,Maxima
1933,14.6
1934,122
1935,71
1936,82
1937,110
1938,64.5
1939,90
1940,95
1941,88.4
1942,70.3
1943,65.4
1944,78.4
1945,100.2
1946,60.4
1947,96.2
1948,70.1
1949,58.2
1950,70.1
1951,120.2
1952,70.2
1953,78.2
1954,130.2
1955,35.2
1956,87.2
1957,47.5
1958,62
1959,102.5
1960,90.5
1961,81.2
1962,65.2
1963,95
1964,84
1965,62.2
1966,80.2
1967,102.2
1968,64.2
1969,39.2
1970,61.7
1971,48.2
1972,68.3
1973,75
1974,94
1975,104.4
1976,70.8
1977,62
1978,132
1979,52
1980,72.2
1981,84.2
1982,57.2
1983,74.2
1984,61.1
1985,88.1
1986,106.2
1988,74
