UF,RN
Cidade,ITAU
Nome Posto,ITAU
Latitude,-5.833333333333333
Longitude,-37.983333333333334
Codigo,537010
Qtd. Anos,40
Ano,Maxima
1921,81.3
1922,91.1
1923,88.6
1924,95.5
1925,62.5
1926,70.4
1927,50.5
1928,64.7
1929,40.7
1930,61.7
1962,65
1963,104
1964,96
1965,67.2
1966,88.5
1967,88.5
1968,67.5
1969,71.3
1970,32.1
1971,87.9
1972,115.9
1973,35.6
1974,74.4
1975,150.3
1976,84
1977,66.6
1978,49.9
1979,122.3
1980,85.6
1981,42.8
1982,123.6
1983,40.7
1984,96.6
1985,107
1986,61
1987,65.4
1988,78
1989,77
1990,52.6
1991,102
